Grupo de anuncios;Audiencia: Edad;Audiencia: País;Audiencia: Tipo de dispositivo;Audiencia: Género;Campaña: Tipo de canal publicitario;Campaña: Nombre de campaña;? Conversiones: Valor total de conversiones;Conversiones: Categoría de acción de conversión;Conversiones: Nombre de acción de conversión;? Conversiones: Valor de conversiones;? Coste: Importe gastado;Dimensión: Fecha;Dimensión: Fuente;? Rendimiento: Total de conversiones;? Rendimiento: Clics;? Rendimiento: Conversiones;? Rendimiento: Impresiones;? Vídeo: Visualizaciones;CPC Coste por clic;CPV Coste por visualización
Campaña de Remarketing;35-44;España;Móvil;Femenino;Display;Reactivación;2362.36;Compra;Compra Online;845.8;377.71;2023-07-05;YouTube;151;29374;132;381000;9883;0.0129;0.0382
Leads Potenciales;25-34;Colombia;Tablet;Otro;Búsqueda;Reactivación;1931.9;Formulario;Formulario Contacto;1032.11;695.93;2023-01-18;Instagram;104;22264;93;300545;11898;0.0313;0.0585
Segmento Interesados;45-54;España;Tablet;Otro;Display;Promo Verano;2037.09;Compra;Formulario Contacto;1034.78;579.55;2023-11-19;Google;156;29346;104;269917;16591;0.0197;0.0349
Campaña de Remarketing;25-34;México;Móvil;Otro;Búsqueda;Promo Verano;1953.18;Descarga;Suscripción Newsletter;1001.52;410.69;2023-01-16;YouTube;126;35231;49;419223;9899;0.0117;0.0415
Segmento Interesados;45-54;Argentina;Ordenador;Femenino;Video;Black Friday;2176.04;Descarga;Formulario Contacto;1042.96;654.32;2023-07-13;Google;147;38373;107;333184;15040;0.0171;0.0435
Segmento Interesados;25-34;México;Tablet;Femenino;Social;Black Friday;1674.29;Compra;Compra Online;1165.51;394.53;2023-08-10;Instagram;115;31807;132;387119;10359;0.0124;0.0381
Campaña de Remarketing;18-24;España;Tablet;Masculino;Social;Promo Verano;1504.24;Formulario;Compra Online;768.86;625.31;2023-11-01;Instagram;119;35668;46;158949;15814;0.0175;0.0395
Clientes Frecuentes;25-34;México;Ordenador;Femenino;Video;Reactivación;2741.57;Registro;Suscripción Newsletter;920.38;416.72;2023-02-16;Google;156;23827;110;364794;7767;0.0175;0.0537
Leads Potenciales;35-44;Argentina;Ordenador;Otro;Video;Reactivación;2228.35;Formulario;Suscripción Newsletter;1199.98;385.07;2023-07-15;Instagram;140;28912;87;359512;15467;0.0133;0.0249
Segmento Interesados;45-54;México;Móvil;Masculino;Búsqueda;Black Friday;2339.7;Descarga;Descarga App;1078.45;433.26;2023-04-22;YouTube;91;39501;49;171662;7897;0.011;0.0549
Segmento Interesados;45-54;Argentina;Ordenador;Otro;Social;Promo Verano;1855.64;Descarga;Suscripción Newsletter;906.37;418.58;2023-05-12;Instagram;91;24073;81;352999;10512;0.0174;0.0398
Segmento Interesados;18-24;Argentina;Ordenador;Otro;Display;Nuevos Clientes;2534.9;Registro;Formulario Contacto;778.09;531.91;2023-04-27;Google;156;32325;72;308581;14013;0.0165;0.038
Clientes Frecuentes;45-54;Argentina;Móvil;Masculino;Búsqueda;Promo Verano;1888.04;Formulario;Formulario Contacto;1078.26;571.22;2023-12-28;Google;110;34827;60;169296;16648;0.0164;0.0343
Leads Potenciales;45-54;Colombia;Tablet;Masculino;Búsqueda;Nuevos Clientes;1950.11;Compra;Compra Online;1012.42;584.65;2023-03-03;YouTube;144;32793;112;287496;11536;0.0178;0.0507
Campaña de Remarketing;18-24;Colombia;Móvil;Masculino;Búsqueda;Promo Verano;2715.16;Compra;Formulario Contacto;1263.45;585.13;2023-03-21;YouTube;111;37266;68;376285;7631;0.0157;0.0767
Campaña de Remarketing;18-24;Argentina;Ordenador;Otro;Video;Nuevos Clientes;2738.21;Registro;Formulario Contacto;1199.81;472.96;2023-02-19;Instagram;72;24086;126;258149;8976;0.0196;0.0527
Leads Potenciales;45-54;Colombia;Tablet;Femenino;Social;Nuevos Clientes;2549.01;Descarga;Suscripción Newsletter;974.96;566.2;2023-04-12;Google;79;28737;129;147827;9598;0.0197;0.059
Clientes Frecuentes;45-54;Argentina;Ordenador;Otro;Video;Promo Verano;2360.42;Registro;Suscripción Newsletter;1213.98;555.42;2023-08-13;YouTube;96;34818;83;197746;8623;0.016;0.0644
Campaña de Remarketing;45-54;México;Ordenador;Otro;Display;Black Friday;1609.61;Formulario;Formulario Contacto;880.59;489.89;2023-12-16;Google;149;22432;50;212604;14020;0.0218;0.0349
Leads Potenciales;45-54;México;Tablet;Otro;Display;Reactivación;1468.52;Compra;Descarga App;1155.74;588.57;2023-02-13;Facebook;109;36516;55;351908;13092;0.0161;0.045
Segmento Interesados;35-44;España;Tablet;Femenino;Búsqueda;Reactivación;2223.52;Descarga;Formulario Contacto;1148.77;523.15;2023-12-27;Instagram;142;36527;43;405968;7129;0.0143;0.0734
Segmento Interesados;18-24;Colombia;Móvil;Otro;Búsqueda;Promo Verano;2372.04;Formulario;Formulario Contacto;1267.95;677.18;2023-03-17;Facebook;130;23470;57;210903;11297;0.0289;0.0599
Clientes Frecuentes;35-44;Argentina;Ordenador;Femenino;Social;Reactivación;2065.81;Compra;Compra Online;1351.59;400.65;2023-07-01;Instagram;105;28216;99;406758;15997;0.0142;0.025
Campaña de Remarketing;25-34;España;Móvil;Otro;Display;Reactivación;1658.65;Formulario;Formulario Contacto;1376.78;586.57;2023-06-23;YouTube;106;22671;118;374491;15134;0.0259;0.0388
Leads Potenciales;35-44;Argentina;Tablet;Otro;Video;Promo Verano;2193.29;Registro;Compra Online;1172.36;658.88;2023-07-21;YouTube;87;22360;58;393167;8575;0.0295;0.0768
Segmento Interesados;45-54;Colombia;Móvil;Femenino;Búsqueda;Nuevos Clientes;2237.94;Compra;Suscripción Newsletter;938.25;680.83;2023-12-07;Instagram;152;39647;133;382926;14762;0.0172;0.0461
Clientes Frecuentes;35-44;Colombia;Ordenador;Otro;Búsqueda;Promo Verano;1481.19;Descarga;Compra Online;1100.13;429.09;2023-07-16;Google;78;34737;54;285721;7978;0.0124;0.0538
Leads Potenciales;35-44;México;Móvil;Masculino;Búsqueda;Reactivación;1992.62;Descarga;Formulario Contacto;1141.36;488.79;2023-09-23;Instagram;77;27444;103;229883;12868;0.0178;0.038
Campaña de Remarketing;45-54;Argentina;Ordenador;Masculino;Display;Reactivación;2032.57;Descarga;Suscripción Newsletter;868.05;665.83;2023-09-26;Facebook;84;33466;52;272646;9490;0.0199;0.0702
Segmento Interesados;45-54;México;Móvil;Femenino;Social;Nuevos Clientes;1848.37;Descarga;Descarga App;1294.38;490.44;2023-10-11;Instagram;103;22733;79;141959;7608;0.0216;0.0645
Campaña de Remarketing;35-44;Argentina;Ordenador;Masculino;Video;Reactivación;1995.69;Descarga;Formulario Contacto;1369.59;680.76;2023-05-11;Google;134;36978;42;371509;11730;0.0184;0.058
Campaña de Remarketing;45-54;Argentina;Tablet;Masculino;Social;Black Friday;1665.89;Compra;Formulario Contacto;887.59;672.47;2023-02-19;Facebook;74;32224;118;375028;11978;0.0209;0.0561
Clientes Frecuentes;18-24;México;Móvil;Otro;Búsqueda;Black Friday;2787.38;Compra;Formulario Contacto;1285.47;560.09;2023-09-09;YouTube;133;36191;91;331532;10539;0.0155;0.0531
Leads Potenciales;25-34;Colombia;Tablet;Masculino;Búsqueda;Black Friday;1949.45;Compra;Formulario Contacto;992.25;437.07;2023-09-28;Google;141;33852;114;168380;16099;0.0129;0.0271
Clientes Frecuentes;18-24;España;Móvil;Otro;Display;Promo Verano;1552.81;Compra;Formulario Contacto;1088.63;443.3;2023-07-16;Facebook;112;22339;69;383202;12819;0.0198;0.0346
Segmento Interesados;45-54;España;Ordenador;Masculino;Video;Promo Verano;2113.96;Compra;Suscripción Newsletter;894.38;376.07;2023-05-13;Google;144;22418;52;240482;14933;0.0168;0.0252
Campaña de Remarketing;18-24;Argentina;Tablet;Otro;Social;Nuevos Clientes;2636.28;Registro;Descarga App;1129.73;642.97;2023-04-21;Google;144;30296;113;335147;13098;0.0212;0.0491
Campaña de Remarketing;45-54;Colombia;Ordenador;Femenino;Video;Reactivación;1714.83;Compra;Compra Online;815.97;553.24;2023-01-28;YouTube;131;34403;126;196608;14223;0.0161;0.0389
Clientes Frecuentes;25-34;España;Ordenador;Femenino;Social;Nuevos Clientes;2159.5;Formulario;Descarga App;1356.84;417.39;2023-12-01;YouTube;120;27780;129;344622;8136;0.015;0.0513
Leads Potenciales;25-34;México;Móvil;Masculino;Display;Nuevos Clientes;1878.02;Descarga;Descarga App;1356.62;390.6;2023-09-12;YouTube;99;41230;53;298341;12362;0.0095;0.0316
Clientes Frecuentes;35-44;España;Móvil;Masculino;Video;Black Friday;2475.43;Compra;Suscripción Newsletter;1348.57;514.97;2023-01-04;Facebook;143;29290;80;400668;10689;0.0176;0.0482
Leads Potenciales;18-24;México;Tablet;Masculino;Búsqueda;Reactivación;1585.39;Descarga;Compra Online;1127.49;580.17;2023-02-25;YouTube;154;28145;42;190625;12119;0.0206;0.0479
Clientes Frecuentes;25-34;Colombia;Tablet;Femenino;Display;Promo Verano;2767.6;Formulario;Suscripción Newsletter;916.53;425.1;2023-08-26;YouTube;140;36193;59;159972;15757;0.0117;0.027
Leads Potenciales;18-24;Colombia;Tablet;Masculino;Búsqueda;Promo Verano;2793.54;Descarga;Compra Online;820.36;504.43;2023-05-06;Google;142;35661;110;210365;16680;0.0141;0.0302
Campaña de Remarketing;45-54;México;Ordenador;Otro;Display;Promo Verano;2082.59;Registro;Formulario Contacto;944.44;588.81;2023-08-25;Facebook;83;33827;103;164389;11496;0.0174;0.0512
Leads Potenciales;45-54;Colombia;Tablet;Femenino;Video;Black Friday;2589.05;Formulario;Compra Online;1282.28;413.58;2023-01-25;Google;90;39561;82;413470;10802;0.0105;0.0383
Segmento Interesados;25-34;Colombia;Móvil;Masculino;Búsqueda;Reactivación;2000.61;Formulario;Suscripción Newsletter;878.01;560.25;2023-09-01;Google;73;23878;107;335866;14925;0.0235;0.0375
Clientes Frecuentes;25-34;México;Ordenador;Otro;Display;Black Friday;1529.97;Compra;Compra Online;846.62;431.85;2023-12-09;YouTube;80;31856;78;398379;10046;0.0136;0.043
Clientes Frecuentes;45-54;Argentina;Móvil;Otro;Display;Reactivación;2195.73;Registro;Descarga App;1093.02;433.53;2023-01-28;Facebook;85;35629;138;401228;12608;0.0122;0.0344
Campaña de Remarketing;35-44;Colombia;Móvil;Otro;Búsqueda;Nuevos Clientes;1699.86;Formulario;Suscripción Newsletter;894.1;624.53;2023-06-23;Google;91;23425;47;326010;14546;0.0267;0.0429
Leads Potenciales;18-24;Argentina;Móvil;Femenino;Video;Promo Verano;2704.08;Formulario;Suscripción Newsletter;941.15;558.34;2023-12-17;YouTube;163;40033;60;217621;13398;0.0139;0.0417
Campaña de Remarketing;25-34;España;Móvil;Femenino;Display;Promo Verano;1904.46;Formulario;Suscripción Newsletter;934.13;661.29;2023-07-06;Facebook;119;34192;111;233966;9692;0.0193;0.0682
Segmento Interesados;18-24;México;Móvil;Masculino;Social;Nuevos Clientes;2369.2;Compra;Compra Online;754.24;671.72;2023-12-23;Google;145;22045;62;283343;13848;0.0305;0.0485
Campaña de Remarketing;45-54;España;Tablet;Otro;Display;Promo Verano;1818.71;Formulario;Descarga App;722.5;505.3;2023-07-08;Facebook;100;23352;134;288015;12991;0.0216;0.0389
Campaña de Remarketing;25-34;Colombia;Tablet;Femenino;Display;Promo Verano;2305.6;Compra;Suscripción Newsletter;1307.69;504.19;2023-08-27;YouTube;119;32761;78;178745;7973;0.0154;0.0632
Clientes Frecuentes;35-44;México;Móvil;Femenino;Video;Nuevos Clientes;2387.84;Compra;Compra Online;1307.71;661.88;2023-03-16;Facebook;139;35040;80;313364;12837;0.0189;0.0516
Leads Potenciales;18-24;México;Móvil;Masculino;Social;Reactivación;2235.85;Formulario;Compra Online;1394.99;352.53;2023-10-15;Google;156;38360;123;384951;15958;0.0092;0.0221
Clientes Frecuentes;35-44;México;Móvil;Masculino;Display;Reactivación;2429.58;Compra;Suscripción Newsletter;793.37;642.09;2023-12-13;Facebook;87;40082;127;415883;9039;0.016;0.071
Clientes Frecuentes;45-54;Argentina;Tablet;Otro;Búsqueda;Black Friday;1811.36;Compra;Formulario Contacto;1284.56;487.18;2023-05-09;Facebook;87;25909;69;194662;14938;0.0188;0.0326
Segmento Interesados;45-54;Colombia;Ordenador;Otro;Display;Reactivación;1947.95;Registro;Formulario Contacto;1117.43;435.34;2023-04-02;YouTube;83;38964;112;298003;15182;0.0112;0.0287
Leads Potenciales;45-54;México;Móvil;Femenino;Social;Black Friday;1711.67;Compra;Formulario Contacto;1015.66;551.94;2023-04-12;Google;105;33804;105;288023;14144;0.0163;0.039
Clientes Frecuentes;18-24;México;Tablet;Masculino;Búsqueda;Promo Verano;2093.35;Formulario;Compra Online;832.33;509.11;2023-09-12;YouTube;128;37175;86;226279;12357;0.0137;0.0412
Segmento Interesados;18-24;Colombia;Ordenador;Femenino;Video;Reactivación;2238.75;Formulario;Formulario Contacto;1189.05;558.09;2023-04-25;Google;122;32618;109;302755;9851;0.0171;0.0567
Clientes Frecuentes;25-34;España;Tablet;Femenino;Video;Black Friday;1471.67;Formulario;Compra Online;904.29;433.51;2023-01-19;Instagram;116;37227;86;416731;15176;0.0116;0.0286
Segmento Interesados;18-24;Colombia;Tablet;Otro;Display;Black Friday;1948.4;Compra;Descarga App;1026.1;423.25;2023-11-20;Instagram;139;27079;53;332209;7119;0.0156;0.0595
Segmento Interesados;25-34;Colombia;Ordenador;Femenino;Display;Black Friday;2314.72;Registro;Compra Online;813.81;630.7;2023-06-03;Facebook;114;31405;99;411583;10237;0.0201;0.0616
Campaña de Remarketing;35-44;Argentina;Tablet;Otro;Búsqueda;Reactivación;2271.83;Descarga;Compra Online;1292.24;432.03;2023-06-08;YouTube;78;37993;42;378946;9113;0.0114;0.0474
Segmento Interesados;18-24;México;Tablet;Masculino;Social;Reactivación;2313.47;Descarga;Descarga App;1126.2;602.62;2023-10-23;YouTube;124;39745;138;321435;12274;0.0152;0.0491
Segmento Interesados;18-24;España;Ordenador;Masculino;Video;Black Friday;1874.96;Registro;Compra Online;983.39;576.45;2023-04-28;Google;146;21178;65;398854;16292;0.0272;0.0354
Segmento Interesados;18-24;Colombia;Móvil;Masculino;Social;Reactivación;2388.79;Formulario;Formulario Contacto;719;443.12;2023-01-11;Google;128;22846;51;270828;15984;0.0194;0.0277
Clientes Frecuentes;25-34;España;Ordenador;Otro;Video;Reactivación;2037.74;Registro;Descarga App;744.04;445.42;2023-05-17;YouTube;114;37687;115;215390;9815;0.0118;0.0454
Segmento Interesados;18-24;Colombia;Tablet;Masculino;Video;Reactivación;2573.19;Compra;Descarga App;771.92;583.96;2023-06-13;Facebook;130;41248;85;358249;16432;0.0142;0.0355
Leads Potenciales;18-24;Argentina;Tablet;Femenino;Video;Nuevos Clientes;1864.23;Descarga;Compra Online;1246.27;654.41;2023-07-02;Instagram;161;22523;134;282373;11581;0.0291;0.0565
Campaña de Remarketing;45-54;Colombia;Tablet;Femenino;Búsqueda;Reactivación;2435.26;Formulario;Suscripción Newsletter;904.81;626.87;2023-01-19;YouTube;130;34315;113;320477;9833;0.0183;0.0638
Leads Potenciales;35-44;México;Ordenador;Masculino;Display;Black Friday;1503.89;Registro;Formulario Contacto;931.12;444.68;2023-02-15;Instagram;135;21037;75;237974;13948;0.0211;0.0319
Campaña de Remarketing;25-34;Colombia;Móvil;Femenino;Búsqueda;Nuevos Clientes;1520.17;Registro;Compra Online;818.86;443.97;2023-11-27;Google;113;35301;68;402777;8090;0.0126;0.0549
Campaña de Remarketing;18-24;España;Tablet;Masculino;Video;Promo Verano;2084.85;Registro;Suscripción Newsletter;1262.25;425.8;2023-05-07;Instagram;157;39815;103;258750;14217;0.0107;0.03
Campaña de Remarketing;45-54;México;Tablet;Femenino;Video;Nuevos Clientes;1742.82;Registro;Formulario Contacto;1288.34;516.75;2023-06-07;YouTube;87;35619;93;320372;14086;0.0145;0.0367
Clientes Frecuentes;25-34;México;Ordenador;Otro;Social;Reactivación;2454.08;Formulario;Descarga App;894.23;622.68;2023-09-05;Google;114;33821;54;393418;11691;0.0184;0.0533
Segmento Interesados;45-54;España;Ordenador;Masculino;Video;Reactivación;1720.34;Registro;Suscripción Newsletter;701.54;552.57;2023-11-21;Google;123;30717;52;399078;13870;0.018;0.0398
Campaña de Remarketing;35-44;México;Ordenador;Masculino;Video;Promo Verano;1673.18;Formulario;Descarga App;872.84;559.4;2023-02-19;Facebook;101;29641;45;311026;8779;0.0189;0.0637
Campaña de Remarketing;18-24;Argentina;Ordenador;Masculino;Búsqueda;Reactivación;2249.02;Registro;Compra Online;749.79;643.78;2023-07-15;Facebook;108;31782;87;256790;11524;0.0203;0.0559
Campaña de Remarketing;25-34;México;Tablet;Masculino;Social;Promo Verano;1978.85;Descarga;Formulario Contacto;737.37;596.92;2023-02-12;Google;150;40060;128;341843;8097;0.0149;0.0737
Leads Potenciales;25-34;Argentina;Móvil;Otro;Video;Black Friday;2664.88;Compra;Suscripción Newsletter;822.57;527.5;2023-10-18;YouTube;163;27369;78;235692;7201;0.0193;0.0733
Campaña de Remarketing;35-44;Argentina;Móvil;Femenino;Display;Promo Verano;1813.38;Compra;Descarga App;897.25;639.44;2023-02-01;Instagram;157;26673;51;367161;12389;0.024;0.0516
Leads Potenciales;45-54;Colombia;Móvil;Masculino;Display;Nuevos Clientes;2578.65;Registro;Formulario Contacto;913.44;432.96;2023-04-25;Google;112;37460;64;232100;9308;0.0116;0.0465
Clientes Frecuentes;35-44;España;Móvil;Otro;Búsqueda;Black Friday;1424.66;Compra;Descarga App;738.62;367.18;2023-01-01;Instagram;97;35357;80;239070;11881;0.0104;0.0309
Leads Potenciales;45-54;España;Móvil;Masculino;Social;Promo Verano;2696.98;Formulario;Suscripción Newsletter;1232.9;586.17;2023-07-27;Google;126;28109;80;298395;12521;0.0209;0.0468
Segmento Interesados;25-34;Colombia;Ordenador;Otro;Búsqueda;Promo Verano;2056.09;Registro;Compra Online;724.35;605.65;2023-07-19;Google;153;30805;131;211447;13008;0.0197;0.0466
Campaña de Remarketing;25-34;España;Tablet;Masculino;Social;Nuevos Clientes;2087.3;Descarga;Formulario Contacto;1337.33;434.4;2023-01-28;Facebook;79;25572;128;307410;12913;0.017;0.0336
Clientes Frecuentes;18-24;Argentina;Tablet;Femenino;Social;Nuevos Clientes;1710.79;Registro;Suscripción Newsletter;916.02;595.03;2023-06-01;Instagram;77;33462;106;321378;16684;0.0178;0.0357
Segmento Interesados;18-24;Colombia;Tablet;Masculino;Búsqueda;Reactivación;1935.1;Formulario;Formulario Contacto;705.85;674.33;2023-07-21;Facebook;106;23088;68;165199;13278;0.0292;0.0508
Segmento Interesados;45-54;Colombia;Móvil;Masculino;Social;Nuevos Clientes;2380.87;Registro;Compra Online;1392.96;688.32;2023-01-04;Instagram;150;24069;65;394775;9940;0.0286;0.0692
Leads Potenciales;18-24;España;Tablet;Masculino;Social;Promo Verano;2214.33;Compra;Suscripción Newsletter;1055.98;697.95;2023-05-22;YouTube;99;26455;134;417084;12553;0.0264;0.0556
Leads Potenciales;18-24;España;Tablet;Otro;Búsqueda;Nuevos Clientes;1745.53;Registro;Compra Online;1148.33;498.45;2023-10-07;Google;126;24530;100;250598;12214;0.0203;0.0408
Leads Potenciales;18-24;México;Móvil;Otro;Social;Nuevos Clientes;2738.6;Registro;Descarga App;1136.79;385.66;2023-12-14;YouTube;101;38784;57;382879;7810;0.0099;0.0494
Leads Potenciales;45-54;Colombia;Móvil;Femenino;Video;Reactivación;2743.69;Compra;Compra Online;707.81;453.24;2023-09-21;Google;129;28983;55;265637;13243;0.0156;0.0342
Clientes Frecuentes;35-44;México;Ordenador;Femenino;Social;Nuevos Clientes;2603.73;Descarga;Compra Online;1312.61;638.65;2023-04-10;Google;104;29644;110;329863;11817;0.0215;0.054
Clientes Frecuentes;25-34;Colombia;Ordenador;Femenino;Búsqueda;Nuevos Clientes;2396.81;Registro;Suscripción Newsletter;1177.54;543.66;2023-12-25;Facebook;156;37790;123;227057;14245;0.0144;0.0382
Segmento Interesados;35-44;España;Tablet;Femenino;Display;Black Friday;2634.48;Formulario;Descarga App;1252.07;553.63;2023-10-25;Instagram;122;34939;135;401790;16001;0.0158;0.0346
Segmento Interesados;18-24;Argentina;Ordenador;Femenino;Video;Black Friday;2687.62;Compra;Suscripción Newsletter;704.36;587.37;2023-08-19;Instagram;124;29196;62;404713;12009;0.0201;0.0489
Segmento Interesados;35-44;México;Tablet;Femenino;Display;Black Friday;2636.26;Compra;Suscripción Newsletter;803.19;621.91;2023-07-21;Instagram;93;29490;69;412411;12596;0.0211;0.0494
Clientes Frecuentes;35-44;Argentina;Móvil;Masculino;Social;Promo Verano;1896.15;Registro;Suscripción Newsletter;1176;691.53;2023-07-16;Google;136;21579;128;280114;13516;0.032;0.0512
Campaña de Remarketing;25-34;México;Ordenador;Femenino;Social;Nuevos Clientes;1539.81;Descarga;Suscripción Newsletter;1097.03;491.63;2023-06-10;YouTube;110;34400;71;158720;11563;0.0143;0.0425
Segmento Interesados;45-54;Argentina;Móvil;Masculino;Display;Promo Verano;1616.02;Formulario;Descarga App;946.23;549.49;2023-08-07;Google;112;26466;78;148788;9339;0.0208;0.0588
Campaña de Remarketing;18-24;España;Tablet;Masculino;Social;Promo Verano;2097.26;Descarga;Suscripción Newsletter;1209.08;529.86;2023-04-10;YouTube;77;27654;68;364991;11076;0.0192;0.0478
Campaña de Remarketing;18-24;México;Ordenador;Femenino;Display;Nuevos Clientes;2330.05;Registro;Formulario Contacto;982.81;531.29;2023-05-22;Facebook;106;38338;81;379958;14869;0.0139;0.0357
Leads Potenciales;25-34;Argentina;Tablet;Otro;Display;Nuevos Clientes;1480.75;Compra;Suscripción Newsletter;908.04;574.64;2023-12-20;Facebook;165;30844;121;230921;12462;0.0186;0.0461
Clientes Frecuentes;45-54;Argentina;Ordenador;Femenino;Búsqueda;Promo Verano;1869.27;Descarga;Compra Online;1368.96;578.56;2023-07-08;Instagram;95;36180;103;248637;15546;0.016;0.0372
Clientes Frecuentes;25-34;México;Móvil;Otro;Display;Nuevos Clientes;1799.58;Formulario;Suscripción Newsletter;738.66;534.21;2023-11-27;Instagram;166;31085;139;220236;8324;0.0172;0.0642
Segmento Interesados;18-24;Colombia;Móvil;Femenino;Social;Black Friday;2559.9;Formulario;Suscripción Newsletter;1037.71;671.72;2023-12-20;Google;141;40035;88;300966;7478;0.0168;0.0898
Leads Potenciales;18-24;España;Móvil;Otro;Búsqueda;Nuevos Clientes;1754.73;Registro;Formulario Contacto;1162.94;585.03;2023-10-15;Instagram;115;38504;130;237183;16417;0.0152;0.0356
Clientes Frecuentes;45-54;España;Móvil;Masculino;Display;Black Friday;2128.1;Descarga;Formulario Contacto;1327.34;646.72;2023-09-10;Instagram;121;30899;42;192605;16370;0.0209;0.0395
Segmento Interesados;18-24;México;Móvil;Femenino;Video;Black Friday;1493.72;Descarga;Formulario Contacto;1314.61;370.7;2023-04-27;Google;130;30475;66;231241;10694;0.0122;0.0347
Clientes Frecuentes;35-44;Argentina;Ordenador;Otro;Social;Reactivación;2754.83;Formulario;Compra Online;941.73;629.39;2023-09-03;YouTube;74;39914;66;218620;12296;0.0158;0.0512
Segmento Interesados;35-44;México;Tablet;Femenino;Video;Nuevos Clientes;1514.9;Formulario;Descarga App;826.58;616.96;2023-08-17;Facebook;74;24309;55;289753;16361;0.0254;0.0377
Clientes Frecuentes;35-44;España;Tablet;Otro;Social;Nuevos Clientes;2063.14;Formulario;Suscripción Newsletter;1267.75;375.57;2023-06-22;Facebook;121;24472;100;301027;12794;0.0153;0.0294
Segmento Interesados;18-24;México;Móvil;Femenino;Video;Reactivación;2744.52;Descarga;Compra Online;1368.81;373.57;2023-05-12;YouTube;129;36121;119;318745;7947;0.0103;0.047
Segmento Interesados;35-44;Argentina;Móvil;Masculino;Búsqueda;Black Friday;2731.82;Compra;Suscripción Newsletter;1351.59;511.24;2023-11-07;Instagram;167;29396;113;301194;11235;0.0174;0.0455
Segmento Interesados;25-34;Argentina;Móvil;Femenino;Display;Black Friday;2592.5;Formulario;Suscripción Newsletter;854.02;472.35;2023-11-12;Google;161;21416;65;356319;10069;0.0221;0.0469
Clientes Frecuentes;18-24;Colombia;Tablet;Otro;Búsqueda;Reactivación;2234.08;Compra;Descarga App;1312.43;404.29;2023-10-27;Facebook;137;39297;44;185941;12122;0.0103;0.0334
Segmento Interesados;18-24;Colombia;Tablet;Masculino;Video;Reactivación;1563.47;Registro;Formulario Contacto;1200.64;663.92;2023-09-18;Google;104;31556;124;328294;14634;0.021;0.0454
Clientes Frecuentes;18-24;España;Móvil;Otro;Social;Nuevos Clientes;1994.88;Formulario;Descarga App;752.87;489.48;2023-08-22;YouTube;96;22849;47;149538;8986;0.0214;0.0545
Segmento Interesados;45-54;España;Tablet;Femenino;Video;Reactivación;2766.59;Registro;Suscripción Newsletter;700.97;483.61;2023-08-19;Google;71;35098;58;352129;7296;0.0138;0.0663
Campaña de Remarketing;18-24;México;Móvil;Femenino;Video;Nuevos Clientes;2268.2;Compra;Suscripción Newsletter;1338.89;691.05;2023-09-21;Instagram;88;32281;114;338320;16791;0.0214;0.0412
Segmento Interesados;45-54;Argentina;Ordenador;Otro;Video;Black Friday;2142.68;Formulario;Descarga App;1182.85;678.75;2023-09-17;Facebook;99;24887;64;363916;7741;0.0273;0.0877
Segmento Interesados;45-54;Colombia;Tablet;Femenino;Búsqueda;Nuevos Clientes;2065.34;Compra;Formulario Contacto;1238.06;525.76;2023-09-14;Google;152;22696;51;231039;16192;0.0232;0.0325
Leads Potenciales;25-34;México;Móvil;Masculino;Display;Promo Verano;2654.82;Formulario;Suscripción Newsletter;999.42;435.83;2023-02-22;Facebook;159;25795;129;362072;15492;0.0169;0.0281
Campaña de Remarketing;45-54;España;Móvil;Femenino;Búsqueda;Promo Verano;1826.98;Formulario;Descarga App;1252.4;516.63;2023-12-12;Facebook;162;30270;118;311840;7737;0.0171;0.0668
Segmento Interesados;35-44;Colombia;Ordenador;Masculino;Display;Reactivación;1796.83;Descarga;Compra Online;1347.16;418.07;2023-11-12;Instagram;138;29069;102;363583;9513;0.0144;0.0439
Segmento Interesados;18-24;Colombia;Tablet;Masculino;Social;Reactivación;2464.02;Descarga;Compra Online;848.58;695.1;2023-10-01;Google;134;41867;60;146508;9038;0.0166;0.0769
Clientes Frecuentes;25-34;Colombia;Móvil;Femenino;Video;Nuevos Clientes;1486.16;Formulario;Formulario Contacto;1120.7;682.56;2023-07-26;Instagram;96;33381;105;157008;10916;0.0204;0.0625
Clientes Frecuentes;18-24;Argentina;Móvil;Masculino;Display;Reactivación;1629.8;Formulario;Suscripción Newsletter;1367.52;619.15;2023-11-23;YouTube;144;41184;48;159870;12464;0.015;0.0497
Clientes Frecuentes;45-54;España;Tablet;Femenino;Display;Nuevos Clientes;2282.21;Registro;Formulario Contacto;877.84;438.34;2023-11-17;YouTube;155;32632;115;385442;12463;0.0134;0.0352
Leads Potenciales;25-34;Argentina;Ordenador;Femenino;Búsqueda;Nuevos Clientes;1973.96;Compra;Formulario Contacto;920.5;634.89;2023-03-26;Google;145;27528;107;174009;10523;0.0231;0.0603
Leads Potenciales;45-54;Colombia;Tablet;Femenino;Social;Black Friday;2445.24;Descarga;Suscripción Newsletter;751.51;430.81;2023-03-14;Facebook;157;30783;125;328078;14076;0.014;0.0306
Clientes Frecuentes;45-54;México;Móvil;Femenino;Display;Promo Verano;2264.21;Compra;Descarga App;1103.98;573.01;2023-07-24;Instagram;136;29780;136;303486;9876;0.0192;0.058
Leads Potenciales;45-54;Colombia;Ordenador;Femenino;Búsqueda;Reactivación;2299.64;Compra;Descarga App;858.41;373.67;2023-12-01;Google;117;31294;131;307195;14252;0.0119;0.0262
